fecha,Close,Volume,variacion_diaria,High,Low,sentimiento_promedio,cantidad_noticias,titulos,tipo_evento,fecha_str
2025-10-01,118648.9296875,71328680132,4.026829179914837,118648.9296875,113981.3984375,0.0,0.0,0,💹 Movimiento técnico significativo,01/10
2025-10-07,121451.3828125,76149412513,-2.6461574802715715,125184.0234375,120681.96875,0.0,0.0,0,💹 Movimiento técnico significativo,07/10
2025-10-10,113214.3671875,153125018868,-6.976852117831744,122509.6640625,104582.4140625,0.0,0.0,0,💹 Movimiento técnico significativo,10/10
2025-10-12,115169.765625,93710414091,3.9364372838716077,115805.0625,109715.5390625,0.0,0.0,0,💹 Movimiento técnico significativo,12/10
2025-10-16,108186.0390625,87306423067,-2.3443318504017374,111990.8125,107537.03125,-1.0,1.0,['Corrección técnica en Bitcoin'],💹 Movimiento técnico significativo,16/10
2025-10-26,114472.4453125,41708524143,2.535538312743024,115260.90625,111268.484375,0.0,0.0,0,💹 Movimiento técnico significativo,26/10
