activo,ticker,categoria,recomendacion,score_rentabilidad,precio_actual,precio_objetivo,retorno_esperado,direccion,confianza,tendencia,rsi,volatilidad,patrones_alcistas,patrones_bajistas,total_patrones
Plata,SI=F,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,100.0,47.474998474121094,48.020060825108594,1.1481039884279656,Alcista,90,alcista,,1.1481039884279727,1,0,1
Apple,AAPL,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,97.0,271.2099914550781,272.626031616472,0.5221194668369826,Alcista,90,alcista,,0.522119466836968,2,0,3
Tesla,TSLA,🟡 NEUTRAL-ALCISTA,⚖️ MANTENER/OBSERVAR,45.0,454.3158874511719,454.3158874511719,0.0,Neutral/Lateral,50,alcista,,3.298400932966218,0,0,2
Bitcoin,BTC-USD,🟡 NEUTRAL,⚖️ MANTENER/OBSERVAR,40.0,102748.59375,102748.59375,0.0,Neutral/Lateral,50,bajista,,2.1555319823807007,1,1,2
Ethereum,ETH-USD,🟡 NEUTRAL,⚖️ MANTENER/OBSERVAR,40.0,3465.643310546875,3465.643310546875,0.0,Neutral/Lateral,50,bajista,,3.577032811983969,1,1,2
Dow Jones,^DJI,🟠 NEUTRAL-BAJISTA,⚠️ PRECAUCIÓN,30.0,47182.94921875,47182.94921875,0.0,Neutral/Lateral,50,bajista,,0.2952273550783584,0,0,1
Microsoft,MSFT,🔴 MUY BAJISTA,🛑 VENTA FUERTE,3.0,513.719970703125,505.3347095190119,-1.6322630347884413,Bajista,90,bajista,,1.6322630347884397,0,3,3
Netflix,NFLX,🔴 MUY BAJISTA,🛑 VENTA FUERTE,3.0,1094.300048828125,1077.173800687492,-1.5650413393450227,Bajista,90,bajista,,1.5650413393450322,0,1,2
