activo,ticker,categoria,recomendacion,score_rentabilidad,precio_actual,precio_objetivo,retorno_esperado,direccion,confianza,tendencia,rsi,volatilidad,patrones_alcistas,patrones_bajistas,total_patrones
Plata,SI=F,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,100.0,47.48500061035156,48.02799774146404,1.143512949632578,Alcista,90,alcista,,1.1435129496325844,1,0,1
Apple,AAPL,🟢 MUY ALCISTA,🚀 COMPRA FUERTE,97.0,271.32501220703125,272.77117026669106,0.5329984316213114,Alcista,90,alcista,,0.5329984316213121,2,0,3
Tesla,TSLA,🟡 NEUTRAL-ALCISTA,⚖️ MANTENER/OBSERVAR,45.0,454.5,454.5,0.0,Neutral/Lateral,50,alcista,,3.2910044639639353,0,0,2
Bitcoin,BTC-USD,🟡 NEUTRAL,⚖️ MANTENER/OBSERVAR,40.0,102625.8984375,102625.8984375,0.0,Neutral/Lateral,50,bajista,,2.1820239083265625,1,1,2
Ethereum,ETH-USD,🟡 NEUTRAL,⚖️ MANTENER/OBSERVAR,40.0,3465.98095703125,3465.98095703125,0.0,Neutral/Lateral,50,bajista,,3.5760461610501593,1,1,2
Dow Jones,^DJI,🟠 NEUTRAL-BAJISTA,⚠️ PRECAUCIÓN,30.0,47167.140625,47167.140625,0.0,Neutral/Lateral,50,bajista,,0.29998222321847967,0,0,1
Microsoft,MSFT,🔴 MUY BAJISTA,🛑 VENTA FUERTE,3.0,513.3400268554688,504.9556130410245,-1.6333060692352546,Bajista,90,bajista,,1.6333060692352495,0,3,3
Netflix,NFLX,🔴 MUY BAJISTA,🛑 VENTA FUERTE,3.0,1093.9100341796875,1076.7627891854663,-1.5675187591710624,Bajista,90,bajista,,1.5675187591710757,0,1,2
